ano,rodada,cartola_time_id,pontos,patrimonio,posicao
2026,6,12,85.45,115.92,1
2026,6,30,78.46,130.47,2
2026,6,28,76.86,129.59,3
2026,6,74,74.07,122.32,4
2026,6,26,73.66,132.40,5
2026,6,5,73.46,139.94,6
2026,6,79,73.35,133.39,7
2026,6,73,73.16,129.77,8
2026,6,55,72.66,129.60,9
2026,6,45,72.14,133.93,10
2026,6,16,71.84,123.31,11
2026,6,80,71.60,127.19,12
2026,6,81,71.30,110.16,13
2026,6,7,71.26,135.97,14
2026,6,6,70.86,139.95,15
2026,6,38,69.80,128.16,16
2026,6,21,69.56,135.08,17
2026,6,47,69.44,124.39,18
2026,6,66,69.17,143.92,19
2026,6,20,69.05,142.21,20
2026,6,62,69.04,130.11,21
2026,6,67,68.67,158.41,22
2026,6,25,68.34,130.50,23
2026,6,11,67.66,129.39,24
2026,6,34,67.16,130.05,25
2026,6,27,67.06,128.98,26
2026,6,14,66.54,122.16,27
2026,6,50,66.46,125.13,28
2026,6,82,66.44,120.59,29
2026,6,15,66.17,147.61,30
2026,6,37,66.06,136.35,31
2026,6,75,66.05,130.97,32
2026,6,17,65.77,139.40,33
2026,6,24,65.56,123.61,34
2026,6,72,65.37,140.48,35
2026,6,65,64.65,121.45,36
2026,6,23,64.44,106.82,37
2026,6,13,64.24,118.36,38
2026,6,49,63.66,139.62,39
2026,6,33,63.66,121.95,40
2026,6,44,63.46,130.17,41
2026,6,43,63.44,119.22,42
2026,6,1,63.24,113.52,43
2026,6,48,63.16,133.06,44
2026,6,71,63.06,129.90,45
2026,6,3,63.06,123.35,46
2026,6,57,62.56,125.18,47
2026,6,22,62.46,128.93,48
2026,6,39,62.35,140.69,49
2026,6,19,61.65,135.88,50
2026,6,60,61.36,113.73,51
2026,6,69,61.35,119.89,52
2026,6,40,61.34,125.63,53
2026,6,2,61.06,129.23,54
2026,6,36,60.65,139.01,55
2026,6,35,59.56,139.37,56
2026,6,59,58.26,119.10,57
2026,6,53,58.05,109.66,58
2026,6,10,58.04,130.86,59
2026,6,78,57.56,124.69,60
2026,6,9,57.56,135.02,61
2026,6,42,57.20,136.86,62
2026,6,31,56.85,115.36,63
2026,6,4,55.84,121.52,64
2026,6,41,55.56,137.25,65
2026,6,64,55.36,136.38,66
2026,6,61,55.25,131.32,67
2026,6,76,55.25,113.50,68
2026,6,8,53.55,114.42,69
2026,6,70,52.94,126.20,70
2026,6,56,52.16,112.89,71
2026,6,51,52.06,140.95,72
2026,6,68,51.55,132.99,73
2026,6,46,51.14,116.55,74
2026,6,77,49.84,126.75,75
2026,6,32,48.56,134.82,76
2026,6,18,47.24,130.66,77
2026,6,63,45.64,134.05,78
2026,6,54,45.25,129.54,79
2026,6,58,20.85,109.92,80
2026,6,29,18.62,94.43,81
2026,6,52,18.55,98.74,82
2026,6,83,0,100.00,83
